647,Aluminium lacquered twist action ballpen.,25 x 20,,"ø 1,1 x 12,6 cm",Aluminium / Rubber
927,Transparent PVC drawstring bag.,200 x 200,,"35 x 46 x 0,1 cm",Polyester 210D / PVC 0.2mm
929,Bicycle cooler bag.,130 x 40,,"21,5 x 12 x 15 cm",Polyester 600D / PEVA
933,Sports/travel bag in a 600D polyester. ,160 x 70,250 x 120,"63 x 31,5 x 32 cm",Polyester 600D / PVC backing
934,Tote bag in a 600D polycanvas. ,180 x 120,,38 x 37 x 9 cm,Polycanvas 600D
935,Cooler bag in a 600D polyester material. ,100 x 80,,33 x 33 x 23 cm,Polyester 600D / Polyester 420D / PEVA / Foam
936,Document bag in a polyester 600D material.,200 x 100,,"38 x 29 x 9,5 cm",Polyester 600D
939,Sports bag in a 600D polyester material. ,240 x 140,100 x 70,50 x 32 x 20 cm,Polyester 600D
942,Umbrella with automatic opening. ,130 x 80,,ø 121 x 92 cm,Fibreglass / Metal / Rubber finish
945,Umbrella with automatic opening.,130 x 80,,"ø 106,5 x 82 cm",Fibreglass / Plastic / EVA / Polyester 190T
946,Backpack in 600D polycanvas.,130 x 80,,31 x 46 x 14 cm,Polycanvas 600D
947,Umbrella with automatic opening.,130 x 80,,"ø 105 x 84,5 cm",Aluminium / Fibreglass / Metal / EVA / Pongee 190T
948,Soft feel notebook. ,50 x 60,,"9 x 14 x 1,3 cm",Cardboard / Paper / PU
954,Plastic push button ballpen. ,40 x 24,,"ø 1,1 x 14,1 cm",ABS
955,Drawstring backpack.,150 x 70,,"34 x 42,5 x 0,1 cm",PVC / Polyester 210D
956,Plastic bubble blower and hand clapper.,20 x 6,,"23,5 x 6 x 2 cm",PVC / PE / PP
957,Steel torch with 9 LED lights.,30 x 6,,"ø 2,9 x 9,8 cm",Aluminium / Paper / EVA
958,Charles Dickens mechanical pencil.,35 x 8,25 x 50,"18 x 7,3 x 3 cm",ABS / Aluminium / Metal / Paper / Velvet
959,Large aluminium torch with one LED light. ,50 x 30,80 x 10,"ø 5,2 x 24 cm",Aluminium
960,Plastic and silicone safety wrist band.,17 x 17,,"6,5 x 2,3 x 6,3 cm",ABS / Silicone
965,A5 Cork portfolio. ,100 x 100 ,,"20 x 16 x 1,5 cm",Cork / PU
966,"A5, PU padded portfolio. ",35 x 100 ,,"23,5 x 18 x 1,5 cm",Polyester 210D / PVC 0.7mm
967,"A4, PU padded portfolio. ",40 x 180 ,,"33 x 25,5 x 2 cm",Polyester 210D / PVC 0.7mm
968,Plastic twist action ballpen. ,30 x 24,,"ø 1,2 x 13,6 cm",ABS / Metal
969,Plastic adjustable mobile phone holder.,35 x 7,,"16 x 10 x 14,6 cm",ABS / EVA
970,Non-woven college bag. ,180 x 90,,36 x 29 x 6 cm,Non-woven 130gr/m2
971,Non woven 80gr coloured bag. ,220 x 100,,38 x 29 x 10 cm,Non woven 80gr
972,Non woven 80gr coloured bag. ,220 x 250,,38 x 42 x 10 cm,Non woven 80gr
973,Charles Dickens boxed set. ,70 x 35 ,,"17,5 x 18,1 x 3,6 cm",Aluminium / Cardboard
976,Charles Dickens boxed set. ,70 x 60  ,,"22,5 x 25 x 3,9 cm",Aluminium / Cardboard / PU
